,,,barcelona-1992,,,atlanta-1996,,,sydney-2000,,,athens-2004,,,beijing-2008,,,london-2012,,,rio-2016,,,tokyo-2020,,Grand Total,
,,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Top 15 finishes,Percentage of Top 15 finishes
Afghanistan,AFG,,0,--,,0,0.00%,,0,--,,0,0.00%,2,2,100.00%,4,2,50.00%,,0,0.00%,2,1,50.00%,5,41.70%
Albania,ALB,9,4,44.40%,7,2,28.60%,3,2,66.70%,5,2,40.00%,10,4,40.00%,9,3,33.30%,4,2,50.00%,6,3,50.00%,22,41.50%
Algeria,DZA,24,15,62.50%,29,15,51.70%,36,16,44.40%,48,13,27.10%,42,16,38.10%,26,11,42.30%,39,16,41.00%,35,14,40.00%,116,41.60%
American Samoa,ASM,3,2,66.70%,,0,0.00%,,0,0.00%,1,1,100.00%,,0,0.00%,,0,0.00%,,0,0.00%,2,1,50.00%,4,19.00%
Andorra,AND,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,4,1,25.00%,5,1,20.00%,,0,0.00%,2,1,50.00%,3,8.60%
Angola,AGO,17,2,11.80%,,2,40.00%,6,2,33.30%,5,2,40.00%,6,2,33.30%,9,5,55.60%,8,2,25.00%,3,1,33.30%,18,30.50%
Antigua and Barbuda,ATG,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,0,0.00%
Argentina,ARG,59,16,27.10%,91,26,28.60%,82,30,36.60%,80,30,37.50%,63,17,27.00%,62,25,40.30%,87,35,40.20%,65,26,40.00%,205,34.80%
Armenia,ARM,,0,--,30,23,76.70%,20,11,55.00%,16,11,68.80%,24,14,58.30%,21,9,42.90%,25,16,64.00%,14,11,78.60%,95,63.30%
Aruba,ABW,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,6,2,33.30%,,0,0.00%,2,7.70%
Australia,AUS,179,108,60.30%,258,143,55.40%,333,217,65.20%,270,173,64.10%,270,169,62.60%,258,156,60.50%,265,171,64.50%,257,165,64.20%,1302,62.30%
Austria,AUT,75,37,49.30%,62,30,48.40%,74,32,43.20%,69,33,47.80%,72,35,48.60%,63,21,33.30%,66,27,40.90%,67,36,53.70%,251,45.80%
